DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2000,78.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2001,78.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2002,78.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2003,78.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2004,79.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2005,79.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2006,79.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2007,79.7,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2008,80.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2009,80.9,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2010,80.9,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2011,81.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2012,80.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2013,81.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2014,81.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2015,81.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2016,81.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2017,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2018,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2019,81.9,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT11,2020,81.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2000,77.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2001,78.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2002,78.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2003,78.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2004,78.7,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2005,79.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2006,79.7,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2007,79.9,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2008,80.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2009,80.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2010,80.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2011,80.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2012,80.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2013,81.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2014,81.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2015,81.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2016,81.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2017,81.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2018,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2019,81.7,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT12,2020,81.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2000,77.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2001,78.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2002,78.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2003,77.9,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2004,78.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2005,78.9,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2006,79.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2007,79.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2008,79.9,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2009,79.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2010,79.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2011,80.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2012,80.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2013,80.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2014,80.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2015,80.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT13,2016,80.9,
