DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2000,597.26,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2001,626.63,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2002,627.48,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2003,674.62,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2004,676.25,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2005,669.25,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2006,714.72,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2007,739.04,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2008,722.05,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2009,736.18,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2010,738.53,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2011,784.29,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2012,791.16,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2013,831.59,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2014,866.41,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2015,893.64,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2016,924.98,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2017,997.92,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2018,1001.56,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT111,2019,1018.16,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2000,2641.16,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2001,2715.76,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2002,2849.41,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2003,2931.17,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2004,3220.87,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2005,3277.62,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2006,3393.23,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2007,3602.28,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2008,3683.01,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2009,3685.4,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2010,3843.03,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2011,4028.02,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2012,4313.17,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,MIO_EUR,AT112,2013,4456.48,
