DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2000,58,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2001,58,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2002,57,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2003,57,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2004,58,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2005,58,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2006,61,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2007,61,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2008,80,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2009,80,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2010,80,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2011,80,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2012,80,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2013,80,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2014,80,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2015,80,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2016,80,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2017,80,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2018,80,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2019,80,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT11,2020,80,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2000,329,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2001,329,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2002,329,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2003,329,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2004,329,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2005,329,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2006,329,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2007,328,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2008,328,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2009,328,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2010,350,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2011,350,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2012,350,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2013,350,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2014,350,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2015,350,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2016,350,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2017,375,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2018,375,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2019,380,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT12,2020,380,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2000,41,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2001,42,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2002,44,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2003,44,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2004,45,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2005,42,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2006,42,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2007,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2008,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2009,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2010,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2011,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2012,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2013,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2014,43,
